ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2025-01-02T09:00:00.980062965Z,2025-01-02T09:00:00.979896738Z,10,2,16244,A,B,0,408.22,23,130,166227,290911,408.22,409.3,23,22,1,1,407,410.4,500,500,1,1,405.6,414.19,500,247,1,1,405.1,418.37,500,1,1,1,403.55,432.68,247,1,1,1,400.14,436.45,1,175,1,1,400,442.88,100,3,1,1,396.12,445,1,10,1,1,376.27,455.58,5,50,1,1,376.17,460,5,10,1,1,TSLA
2025-01-02T09:00:00.996713412Z,2025-01-02T09:00:00.996547066Z,10,2,38,A,B,1,245.37,4,130,166346,290945,248.18,254.7,399,399,1,1,245.37,271.27,4,4,1,1,236.33,296.36,40,3,1,1,200,,5,0,1,0,147.6,,100,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2025-01-02T09:00:00.998244936Z,2025-01-02T09:00:00.998078419Z,10,2,780,A,B,1,258.1,25,130,166517,290954,260.27,263.33,25,25,1,1,258.1,,25,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AMGN
2025-01-02T09:00:01.004832230Z,2025-01-02T09:00:01.004665992Z,10,2,38,A,B,2,237.05,1,130,166238,290989,248.18,254.7,399,399,1,1,245.37,271.27,4,4,1,1,237.05,296.36,1,3,1,1,236.33,,40,0,1,0,200,,5,0,1,0,147.6,,100,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2025-01-02T09:00:01.037405448Z,2025-01-02T09:00:01.037239470Z,10,2,16244,C,A,1,410.4,500,130,165978,291128,408.22,409.3,23,22,1,1,407,414.19,500,247,1,1,405.6,418.37,500,1,1,1,405.1,432.68,500,1,1,1,403.55,436.45,247,175,1,1,400.14,442.88,1,3,1,1,400,445,100,10,1,1,396.12,455.58,1,50,1,1,376.27,460,5,10,1,1,376.17,489.96,5,100,1,1,TSLA
2025-01-02T09:00:01.049377490Z,2025-01-02T09:00:01.049211182Z,10,2,16244,A,A,1,410.6,500,130,166308,291194,408.22,409.3,23,22,1,1,407,410.6,500,500,1,1,405.6,414.19,500,247,1,1,405.1,418.37,500,1,1,1,403.55,432.68,247,1,1,1,400.14,436.45,1,175,1,1,400,442.88,100,3,1,1,396.12,445,1,10,1,1,376.27,455.58,5,50,1,1,376.17,460,5,10,1,1,TSLA
2025-01-02T09:00:01.080482288Z,2025-01-02T09:00:01.080315735Z,10,2,38,A,A,0,251.9,120,130,166553,291876,248.18,251.9,399,120,1,1,245.37,254.7,4,399,1,1,237.05,271.27,1,4,1,1,236.33,296.36,40,3,1,1,200,,5,0,1,0,147.6,,100,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2025-01-02T09:00:01.146090155Z,2025-01-02T09:00:01.145923142Z,10,2,38,A,B,0,251.17,200,130,167013,292252,251.17,251.9,200,120,1,1,248.18,254.7,399,399,1,1,245.37,271.27,4,4,1,1,237.05,296.36,1,3,1,1,236.33,,40,0,1,0,200,,5,0,1,0,147.6,,100,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2025-01-02T09:00:01.146139764Z,2025-01-02T09:00:01.145972535Z,10,2,780,A,A,0,262.82,25,130,167229,292256,260.27,262.82,25,25,1,1,258.1,,25,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AMGN
2025-01-02T09:00:01.147669074Z,2025-01-02T09:00:01.147502698Z,10,2,38,A,A,0,251.48,200,130,166376,292352,251.17,251.48,200,200,1,1,248.18,251.9,399,120,1,1,245.37,254.7,4,399,1,1,237.05,271.27,1,4,1,1,236.33,296.36,40,3,1,1,200,,5,0,1,0,147.6,,100,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
